news_id,TC_ENTERTAINMENT,TC_FOOD & DRINK,TC_HOME & LIVING,TC_OTHERS,TC_POLITICS,TC_QUEER VOICES,TC_SPORTS,TC_STYLE & BEAUTY,TC_TRAVEL,TC_WELLNESS
1079995915652476928,0,0,0,0,1,0,0,0,0,0
1084275179331772416,0,0,0,0,1,0,0,0,0,0
1080216134467702784,0,0,0,0,1,0,0,0,0,0
1080901028365697026,0,0,0,0,0,1,0,0,0,0
1081379589711167489,0,0,0,0,1,0,0,0,0,0
1083901643027025920,0,0,0,0,1,0,0,0,0,0
1079638749359886336,0,0,0,0,0,0,0,0,1,0
1083043497228361729,1,0,0,0,0,0,0,0,0,0
1080975124520714240,0,0,0,0,0,0,0,0,0,1
1078733517889122305,0,0,0,0,1,0,0,0,0,0
1083952075099303936,1,0,0,0,0,0,0,0,0,0
1083952267424944129,0,0,0,0,1,0,0,0,0,0
1080135380177993730,0,0,0,0,0,0,0,0,0,1
1084186997055516672,0,0,0,0,1,0,0,0,0,0
1081457459959599105,1,0,0,0,0,0,0,0,0,0
1082321579319664646,1,0,0,0,0,0,0,0,0,0
1083069908244725760,0,0,0,0,0,0,1,0,0,0
1079033405474516993,0,0,0,0,1,0,0,0,0,0
1082825698639863808,0,0,0,0,1,0,0,0,0,0
1079818581431517185,0,0,0,0,0,1,0,0,0,0
1078878051570720768,0,0,0,0,0,1,0,0,0,0
1079401159322976264,0,0,0,0,1,0,0,0,0,0
1084156168057044992,0,0,0,0,1,0,0,0,0,0
1084034645941981185,0,0,0,0,0,0,0,0,0,1
1081612364473094144,0,0,0,0,1,0,0,0,0,0
1081267777741021184,0,0,0,0,1,0,0,0,0,0
1078397001467944960,0,0,0,0,0,0,0,0,1,0
1079791525750546432,0,0,0,0,0,0,0,0,1,0
1078872742911504384,0,0,0,0,1,0,0,0,0,0
1078303941132275712,0,0,0,0,0,0,1,0,0,0
1078998889976549376,0,0,0,0,1,0,0,0,0,0
1082926483738411009,0,0,0,0,1,0,0,0,0,0
1079923951705436166,0,0,0,0,0,0,1,0,0,0
1078459298974498817,0,0,0,0,1,0,0,0,0,0
1078601053145366529,0,0,0,0,0,0,0,0,1,0
1082822000777736192,0,0,0,0,1,0,0,0,0,0
1080947141869273093,0,0,0,0,1,0,0,0,0,0
1080787719033446401,0,0,0,0,1,0,0,0,0,0
1082826935829331968,0,0,0,0,1,0,0,0,0,0
1082889569979248640,0,0,0,0,1,0,0,0,0,0
1078735012252413952,1,0,0,0,0,0,0,0,0,0
1080708597212946432,0,0,0,0,0,0,0,0,1,0
1084348503709626368,0,0,0,0,1,0,0,0,0,0
1078389978374328320,0,0,0,0,1,0,0,0,0,0
1082555288799072256,0,0,0,0,1,0,0,0,0,0
1084100393003614209,0,0,0,0,1,0,0,0,0,0
1078778641184641024,0,0,0,0,1,0,0,0,0,0
1082284894699573248,0,0,0,0,1,0,0,0,0,0
1079481214912864257,0,0,0,0,1,0,0,0,0,0
1079610995713212416,0,0,0,0,0,0,1,0,0,0
1079746346507296768,0,0,0,0,1,0,0,0,0,0
1079620318518562816,0,0,0,0,1,0,0,0,0,0
1083161263998488576,0,0,0,0,1,0,0,0,0,0
1078882706988118016,0,0,0,0,0,0,1,0,0,0
1079813813162135552,0,1,0,0,0,0,0,0,0,0
1082393676427472896,0,0,0,0,1,0,0,0,0,0
1083049032300281861,0,0,0,0,1,0,0,0,0,0
1078796509779501058,0,0,0,0,1,0,0,0,0,0
1082829823297314816,0,0,0,0,1,0,0,0,0,0
1084285462586511360,0,0,0,0,0,0,0,0,0,1
1081327436665638912,0,0,0,0,1,0,0,0,0,0
1081153562112131072,0,0,0,0,0,0,0,0,0,1
1081079185316159488,0,0,0,0,1,0,0,0,0,0
1083061037203685376,0,0,0,0,1,0,0,0,0,0
1082388327670661121,0,0,1,0,0,0,0,0,0,0
